"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Login: Verify Onboarding screen","3","0","","0"
"0","","12","","0","0","","0"
"0","","0","Login: Login empty credentials","4","0","","0"
"1","","0","Login: Login with valid credentials","4","0","","0"
"0","","0","Login: Login with valid user and invalid password","6","0","","0"
"0","","0","Login: Login only with invalid user","6","0","","0"
"0","","0","Login: Login with invalid user and valid password","6","0","","0"
"0","","0","Login: Verify New Access screen","6","0","","0"
"0","","0","Login: Login only with invalid password","6","0","","0"
"0","","0","Login: Login invalid credentials","6","0","","0"
"0","","0","Login: Login only with valid username","6","0","","0"
"0","","0","Login: Login only with valid password","6","0","","0"
"0","","0","Login: Verify Reset Password","4","0","","0"
