"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4315","Given User started the app by first time","","Tue Aug 13 09:38:51 GMT-04:00 2024","passed","Tue Aug 13 09:38:55 GMT-04:00 2024","","Login: Verify Onboarding screen","",""
"","1","hook:","","Tue Aug 13 09:40:38 GMT-04:00 2024","failed","Tue Aug 13 09:40:38 GMT-04:00 2024","","","",""
"","1025","Then User should see a message asking for credentials","","Tue Aug 13 09:40:17 GMT-04:00 2024","passed","Tue Aug 13 09:40:18 GMT-04:00 2024","","Login: Login empty credentials","",""
"","1","hook:","","Tue Aug 13 09:40:15 GMT-04:00 2024","failed","Tue Aug 13 09:40:15 GMT-04:00 2024","","","",""
"","860","And User clicks on Iniciar sesión button","","Tue Aug 13 09:40:32 GMT-04:00 2024","passed","Tue Aug 13 09:40:33 GMT-04:00 2024","","Login: Login with valid credentials","",""
"","1130","When User types a valid username on username textfield","","Tue Aug 13 09:40:07 GMT-04:00 2024","passed","Tue Aug 13 09:40:08 GMT-04:00 2024","","Login: Login with valid user and invalid password","",""
"","82","When User only types an invalid username on username textfield","","Tue Aug 13 09:39:36 GMT-04:00 2024","passed","Tue Aug 13 09:39:36 GMT-04:00 2024","","Login: Login only with invalid user","",""
"","238","Then User can continue to New Access Screen","","Tue Aug 13 09:39:10 GMT-04:00 2024","passed","Tue Aug 13 09:39:10 GMT-04:00 2024","","Login: Verify Onboarding screen","",""
"","5209","Then User should be redirected to PIN Configuration screen","","Tue Aug 13 09:40:33 GMT-04:00 2024","broken","Tue Aug 13 09:40:38 GMT-04:00 2024","","Login: Login with valid credentials","",""
"","1","hook:","","Tue Aug 13 09:39:40 GMT-04:00 2024","failed","Tue Aug 13 09:39:40 GMT-04:00 2024","","","",""
"","871","And User clicks on Iniciar sesión button","","Tue Aug 13 09:39:59 GMT-04:00 2024","passed","Tue Aug 13 09:40:00 GMT-04:00 2024","","Login: Login with invalid user and valid password","",""
"","0","hook:","","Tue Aug 13 09:40:28 GMT-04:00 2024","failed","Tue Aug 13 09:40:28 GMT-04:00 2024","","","",""
"","1495","Given User is on Login screen","","Tue Aug 13 09:40:06 GMT-04:00 2024","passed","Tue Aug 13 09:40:07 GMT-04:00 2024","","Login: Login with valid user and invalid password","",""
"","2414","Then User should be on the Affiliation Requirements Screen","","Tue Aug 13 09:39:12 GMT-04:00 2024","passed","Tue Aug 13 09:39:15 GMT-04:00 2024","","Login: Verify New Access screen","",""
"","1849","And after dismissing the message User still being on login screen","","Tue Aug 13 09:40:18 GMT-04:00 2024","passed","Tue Aug 13 09:40:19 GMT-04:00 2024","","Login: Login empty credentials","",""
"","1","hook:","","Tue Aug 13 09:39:10 GMT-04:00 2024","failed","Tue Aug 13 09:39:10 GMT-04:00 2024","","","",""
"","1062","Then User should see a message asking for typing the username","","Tue Aug 13 09:39:31 GMT-04:00 2024","passed","Tue Aug 13 09:39:32 GMT-04:00 2024","","Login: Login only with invalid password","",""
"","2","When User press back","","Tue Aug 13 09:39:15 GMT-04:00 2024","passed","Tue Aug 13 09:39:15 GMT-04:00 2024","","Login: Verify New Access screen","",""
"","1387","And User types an invalid password on password textfield","","Tue Aug 13 09:40:08 GMT-04:00 2024","passed","Tue Aug 13 09:40:10 GMT-04:00 2024","","Login: Login with valid user and invalid password","",""
"","1347","And User types an invalid password on password textfield","","Tue Aug 13 09:40:22 GMT-04:00 2024","passed","Tue Aug 13 09:40:23 GMT-04:00 2024","","Login: Login invalid credentials","",""
"","1689","And after dismissing the message User still being on login screen","","Tue Aug 13 09:39:39 GMT-04:00 2024","passed","Tue Aug 13 09:39:40 GMT-04:00 2024","","Login: Login only with invalid user","",""
